Job Number,Operation Number,Machine Number,Operation Time,Start Time
0,0,298,14,0
0,1,236,17,14
0,2,53,5,31
0,3,191,13,36
0,4,410,28,49
0,5,407,3,77
0,6,366,24,80
0,7,8,6,104
0,8,321,30,110
0,9,282,7,140
0,10,189,29,147
0,11,294,17,176
0,12,245,16,193
0,13,65,13,209
0,14,423,19,222
0,15,318,9,241
0,16,120,1,250
0,17,199,11,251
0,18,278,30,262
0,19,194,3,292
0,20,340,28,295
0,21,334,9,323
0,22,21,17,332
0,23,184,28,349
0,24,108,3,377
0,25,377,15,380
0,26,74,23,395
0,27,280,24,418
0,28,89,3,442
0,29,6,17,445
0,30,94,2,462
0,31,40,23,464
0,32,208,4,487
0,33,295,16,491
0,34,418,18,507
0,35,112,27,525
0,36,258,5,552
0,37,475,25,557
0,38,350,5,582
0,39,256,24,587
0,40,277,25,611
0,41,218,18,636
0,42,174,14,654
0,43,80,1,668
0,44,345,9,669
0,45,147,14,678
0,46,317,14,692
0,47,408,11,706
0,48,85,12,717
0,49,266,13,729
0,50,12,17,742
0,51,78,8,759
0,52,238,1,767
0,53,97,14,768
0,54,441,29,782
0,55,205,20,811
0,56,247,6,831
0,57,332,7,837
0,58,214,29,844
0,59,46,1,873
0,60,486,22,874
0,61,430,27,896
0,62,442,24,923
0,63,179,5,947
0,64,70,8,952
0,65,260,3,960
0,66,131,26,963
0,67,196,14,989
0,68,400,8,1003
0,69,142,18,1011
0,70,210,4,1029
0,71,428,29,1033
0,72,29,30,1062
0,73,287,26,1092
0,74,453,30,1118
0,75,483,5,1148
0,76,52,21,1153
0,77,297,6,1174
0,78,76,28,1180
0,79,177,1,1208
0,80,162,30,1209
0,81,417,4,1239
0,82,394,5,1243
0,83,175,4,1248
0,84,311,5,1252
0,85,96,6,1257
0,86,392,1,1263
0,87,93,2,1264
0,88,384,6,1266
0,89,160,17,1272
0,90,193,2,1289
0,91,405,2,1291
0,92,200,23,1293
0,93,117,23,1316
0,94,100,13,1339
0,95,10,13,1352
0,96,342,28,1365
0,97,109,6,1393
0,98,341,7,1399
0,99,250,19,1406
0,100,151,14,1425
0,101,274,14,1439
0,102,136,27,1453
0,103,161,27,1480
0,104,95,16,1507
0,105,60,10,1523
0,106,90,20,1533
0,107,51,2,1553
0,108,72,29,1555
0,109,201,12,1584
0,110,385,3,1596
0,111,335,12,1599
0,112,71,29,1611
0,113,436,18,1640
0,114,232,12,1658
0,115,367,26,1670
0,116,450,23,1696
0,117,202,10,1719
0,118,188,23,1729
0,119,26,3,1752
0,120,404,9,1755
0,121,323,24,1764
0,122,38,18,1788
0,123,454,19,1806
0,124,461,19,1825
0,125,473,17,1844
0,126,168,18,1861
0,127,328,9,1879
0,128,48,15,1888
0,129,13,28,1903
0,130,233,30,1931
0,131,286,21,1961
0,132,412,3,1982
0,133,264,17,1985
0,134,272,10,2002
0,135,271,15,2012
0,136,11,12,2027
0,137,495,18,2039
0,138,119,6,2057
0,139,378,30,2063
0,140,235,16,2093
0,141,140,26,2109
0,142,17,14,2135
0,143,292,14,2149
0,144,316,9,2163
0,145,216,25,2172
0,146,301,2,2197
0,147,357,21,2199
0,148,153,16,2220
0,149,3,11,2236
0,150,67,5,2247
0,151,281,20,2252
0,152,127,16,2272
0,153,158,18,2288
0,154,421,5,2306
0,155,118,16,2311
0,156,348,13,2327
0,157,393,4,2340
0,158,132,29,2344
0,159,399,19,2373
0,160,360,8,2392
0,161,139,22,2400
0,162,426,2,2422
