job id; operation ;start time ; machine id; operation time 
1 ;0 ;0 ; 2; 1 
1 ;1 ;0 ; 0; 3 
1 ;2 ;0 ; 1; 6 
1 ;3 ;0 ; 3; 7 
1 ;4 ;0 ; 5; 3 
2 ;5 ;6 ; 1; 8 
2 ;6 ;1 ; 2; 5 
2 ;7 ;0 ; 4; 10 
2 ;8 ;3 ; 5; 10 
2 ;9 ;3 ; 0; 10 
2 ;10 ;7 ; 3; 4 
1 ;11 ;10 ; 4; 6 
3 ;12 ;6 ; 2; 5 
3 ;13 ;11 ; 3; 4 
3 ;14 ;13 ; 5; 8 
3 ;15 ;13 ; 0; 9 
3 ;16 ;14 ; 1; 1 
3 ;17 ;16 ; 4; 7 
4 ;18 ;15 ; 1; 5 
4 ;19 ;22 ; 0; 5 
4 ;20 ;11 ; 2; 5 
4 ;21 ;15 ; 3; 3 
4 ;22 ;23 ; 4; 8 
4 ;23 ;21 ; 5; 9 
5 ;24 ;16 ; 2; 9 
5 ;25 ;20 ; 1; 3 
5 ;26 ;31 ; 4; 5 
5 ;27 ;30 ; 5; 4 
5 ;28 ;27 ; 0; 3 
5 ;29 ;18 ; 3; 1 
6 ;30 ;23 ; 1; 3 
6 ;31 ;19 ; 3; 3 
6 ;32 ;34 ; 5; 9 
6 ;33 ;30 ; 0; 10 
6 ;34 ;36 ; 4; 4 
6 ;35 ;25 ; 2; 1 
